Generation;Year;Odometer;CarType;Color;EngineVolume;Horsepower;OilType;Box;Drive;Wheel;State;Customs;CarClass;NumberTransmissions;FrontSuspensionType;RearSuspensionType;FrontBrakes;RearBrakes;MaxSpeed;AccelerationTo100;FuelGrade;TypeSupercharger;NumberCylinders;ValvesPerCylinder;Price
VIII (XV70) Рестайлинг;2022;5000;седан;белый;2.5;205;бензин;автоматическая;полный;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;2400000
VIII (XV70) Рестайлинг;2021;21000;седан;белый;2.5;209;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;;аи-95;нет;4;4;2050000
VIII (XV70) Рестайлинг;2021;23100;седан;фиолетовый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2000052
VIII (XV70);2021;26531;седан;чёрный;2.5;178;гибрид;вариатор;полный;правый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;;аи-95;нет;4;4;2100000
VIII (XV70) Рестайлинг;2022;19000;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2250666
IX (XV80);2024;1800;седан;белый;2.5;225;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;3400090
IX (XV80);2024;9000;седан;чёрный;2.5;204;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.9;аи-95;нет;4;4;4540000
VIII (XV70);2021;39000;седан;чёрный;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;2296000
VIII (XV70) Рестайлинг;2021;21324;седан;серебристый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2130442
VIII (XV70) Рестайлинг;2021;22312;седан;чёрный;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2390442
IX (XV80);2024;3;седан;чёрный;2.5;232;гибрид;вариатор;полный;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;4963379
VIII (XV70) Рестайлинг;2021;59000;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;1920200
VIII (XV70) Рестайлинг;2022;21000;седан;чёрный;2.5;202;бензин;автоматическая;полный;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;2460000
VIII (XV70) Рестайлинг;2020;24679;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2127442
VIII (XV70);2020;43000;седан;серебристый;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;1900000
VIII (XV70) Рестайлинг;2022;15209;седан;чёрный;2.5;178;гибрид;вариатор;передний;правый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2600000
VIII (XV70) Рестайлинг;2021;50000;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2100000
VIII (XV70) Рестайлинг;2021;26000;седан;чёрный;2.5;204;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;2350500
VIII (XV70) Рестайлинг;2021;40000;седан;серебристый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2050000
VIII (XV70) Рестайлинг;2020;78000;седан;серый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;1980000
VIII (XV70) Рестайлинг;2021;37800;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2154052
VIII (XV70) Рестайлинг;2021;13000;седан;чёрный;2.5;178;гибрид;вариатор;полный;правый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;2490000
VIII (XV70) Рестайлинг;2022;18254;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2350090
IX (XV80) China Market;2024;2000;седан;белый;2.5;230;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;3250000
IX (XV80);2024;7000;седан;белый;2.5;225;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;3440111
IX (XV80);2024;440;седан;красный;2.5;230;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;7.2;аи-95;нет;4;4;5128000
VIII (XV70) Рестайлинг;2021;14342;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2170442
VIII (XV70) Рестайлинг;2021;30000;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2200000
IX (XV80) China Market;2024;30;седан;чёрный;2.0;197;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;5600000
IX (XV80) China Market;2024;2500;седан;белый;2.0;173;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-92;нет;4;4;3280000
VIII (XV70) Рестайлинг;2021;38000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2074205
VIII (XV70) Рестайлинг;2021;38900;седан;серый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2197191
VIII (XV70) Рестайлинг;2021;17400;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2024205
VIII (XV70) Рестайлинг;2020;30000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2100000
VIII (XV70) Рестайлинг;2021;38100;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2230100
VIII (XV70);2018;40002;седан;белый;2.5;178;гибрид;вариатор;передний;правый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые;дисковые;180;9.0;аи-95;нет;4;4;2000001
IX (XV80) China Market;2025;230;седан;чёрный;2.0;197;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;3230000
VIII (XV70) Рестайлинг;2021;41000;седан;серебристый;2.5;200;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.7;аи-92;нет;4;4;2710045
VIII (XV70) Рестайлинг;2022;30000;седан;серый;2.5;209;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;;аи-95;нет;4;4;2579000
VIII (XV70) Рестайлинг;2021;23000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2240008
VIII (XV70) Рестайлинг;2022;23412;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2140442
VIII (XV70) Рестайлинг;2021;40000;седан;серебристый;2.5;204;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;2000555
IX (XV80);2024;7000;седан;белый;2.5;204;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.9;аи-95;нет;4;4;4080013
VIII (XV70) Рестайлинг;2021;15088;седан;белый;2.5;178;гибрид;вариатор;передний;правый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2500000
VIII (XV70);2021;30000;седан;белый;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые;дисковые;180;8.3;аи-95;нет;4;4;2350442
IX (XV80);2025;300;седан;чёрный;2.5;204;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.9;аи-95;нет;4;4;4130010
VIII (XV70) Рестайлинг;2021;26000;седан;белый;2.5;209;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;;аи-95;нет;4;4;2480000
IX (XV80);2025;3;седан;чёрный;2.5;232;гибрид;вариатор;полный;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;6060000
VIII (XV70) Рестайлинг;2022;30000;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2600000
IX (XV80) China Market;2024;8800;седан;белый;2.0;173;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-92;нет;4;4;3850000
VIII (XV70) Рестайлинг;2021;31000;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2200140
VIII (XV70) Рестайлинг;2022;31750;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2550000
IX (XV80) China Market;2024;10;седан;чёрный;2.0;173;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-92;нет;4;4;3600000
VIII (XV70) Рестайлинг;2022;32121;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2400000
VIII (XV70) Рестайлинг;2021;4000;седан;серый;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2030000
IX (XV80) China Market;2025;42;седан;серый;2.0;197;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;3890000
VIII (XV70) Рестайлинг;2022;46000;седан;белый;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2350000
VIII (XV70);2021;34600;седан;белый;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;2135000
VIII (XV70) Рестайлинг;2022;56000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2344000
VIII (XV70) Рестайлинг;2021;31222;седан;чёрный;2.5;178;гибрид;вариатор;передний;правый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2600000
VIII (XV70) Рестайлинг;2021;39567;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2252555
VIII (XV70) Рестайлинг;2020;39000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2200000
VIII (XV70);2020;26310;седан;белый;2.5;178;гибрид;вариатор;передний;правый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые;дисковые;180;9.0;аи-95;нет;4;4;1990000
IX (XV80) China Market;2024;8000;седан;белый;2.0;197;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;3200000
VIII (XV70);2021;31700;седан;белый;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;2010000
VIII (XV70) Рестайлинг;2022;17454;седан;белый;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2440442
VIII (XV70);2021;25738;седан;красный;2.5;178;гибрид;вариатор;полный;правый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;;аи-95;нет;4;4;2200000
VIII (XV70);2021;42000;седан;белый;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые;дисковые;180;8.3;аи-95;нет;4;4;2670000
VIII (XV70) Рестайлинг;2021;29000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2360000
VIII (XV70) Рестайлинг;2021;56000;седан;белый;2.5;200;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.7;аи-92;нет;4;4;2100000
VIII (XV70) Рестайлинг;2020;17445;седан;белый;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;1950275
IX (XV80);2025;983;седан;белый;2.5;230;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;7.2;аи-95;нет;4;4;6200000
IX (XV80);2025;5;седан;чёрный;2.5;204;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.9;аи-95;нет;4;4;4765000
VIII (XV70) Рестайлинг;2021;16390;седан;белый;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2385442
VIII (XV70) Рестайлинг;2020;40000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2250000
IX (XV80) China Market;2024;2000;седан;чёрный;2.0;173;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-92;нет;4;4;3300000
IX (XV80);2024;10100;седан;серебристый;2.5;230;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;7.2;аи-95;нет;4;4;3640100
IX (XV80) China Market;2024;8100;седан;белый;2.0;197;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;3195100
VIII (XV70) Рестайлинг;2022;32121;седан;серебристый;2.5;209;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;;аи-95;нет;4;4;2680000
IX (XV80);2024;10;седан;синий;2.5;204;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.9;аи-95;нет;4;4;5700000
IX (XV80);2024;88;седан;белый;2.5;230;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;7.2;аи-95;нет;4;4;5259000
VIII (XV70) Рестайлинг;2021;12000;седан;чёрный;2.5;178;гибрид;вариатор;полный;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;2650000
IX (XV80) China Market;2024;13000;седан;белый;2.0;197;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;3600700
VIII (XV70);2021;20650;седан;чёрный;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;2200000
VIII (XV70) Рестайлинг;2023;15000;седан;чёрный;2.5;178;гибрид;вариатор;полный;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;3156000
VIII (XV70) Рестайлинг;2021;26000;седан;белый;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2440005
IX (XV80) China Market;2025;100;седан;чёрный;2.0;197;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;3190013
VIII (XV70) Рестайлинг;2022;23300;седан;бежевый;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2530000
VIII (XV70) Рестайлинг;2021;50000;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2100000
IX (XV80);2024;10;седан;белый;2.5;204;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.9;аи-95;нет;4;4;4935680
VIII (XV70) Рестайлинг;2022;30000;седан;серебристый;2.5;209;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;;аи-95;нет;4;4;2550000
VIII (XV70) Рестайлинг;2020;30000;седан;коричневый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2080000
VIII (XV70) Рестайлинг;2020;52150;седан;чёрный;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2280000
VIII (XV70) Рестайлинг;2022;36000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2490000
IX (XV80) China Market;2024;6000;седан;белый;2.0;197;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;3350000
VIII (XV70);2020;31094;седан;красный;2.5;178;гибрид;вариатор;полный;правый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;;аи-95;нет;4;4;1950000
VIII (XV70) Рестайлинг;2021;27000;седан;белый;2.5;209;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;;аи-95;нет;4;4;2500000
VIII (XV70) Рестайлинг;2021;20000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2350000
IX (XV80) China Market;2024;4000;седан;серебристый;2.0;173;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-92;нет;4;4;4990000
IX (XV80) China Market;2024;6500;седан;чёрный;2.0;173;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-92;нет;4;4;3350000
IX (XV80) China Market;2024;10;седан;бежевый;2.5;230;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;4000000
VIII (XV70) Рестайлинг;2021;54000;седан;коричневый;2.5;203;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;8.5;аи-95;нет;4;4;3194000
VIII (XV70) Рестайлинг;2021;50000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2250100
IX (XV80);2024;2600;седан;серебристый;2.5;230;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;7.2;аи-95;нет;4;4;3900000
VIII (XV70) Рестайлинг;2022;50000;седан;белый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2460000
VIII (XV70) Рестайлинг;2021;27000;седан;серебристый;2.0;178;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-95;нет;4;4;2500199
IX (XV80);2025;2;седан;белый;2.5;204;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.9;аи-95;нет;4;4;6000000
IX (XV80) China Market;2024;1059;седан;белый;2.0;197;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;3774000
IX (XV80) China Market;2025;5;седан;чёрный;2.0;173;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-92;нет;4;4;3300000
VIII (XV70);2020;42345;седан;чёрный;2.5;178;гибрид;вариатор;передний;правый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые;дисковые;180;9.0;аи-95;нет;4;4;2180001
IX (XV80);2025;10;седан;чёрный;2.5;225;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;;;аи-95;нет;4;4;6190000
IX (XV80) China Market;2024;3000;седан;белый;2.0;173;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-92;нет;4;4;3240000
VIII (XV70);2019;27520;седан;серый;2.5;178;гибрид;вариатор;полный;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;;аи-95;нет;4;4;2400000
VIII (XV70) Рестайлинг;2021;54000;седан;серебристый;2.5;200;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.7;аи-92;нет;4;4;3294000
IX (XV80) China Market;2024;7620;седан;белый;2.0;197;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;;аи-92;нет;4;4;3200000
VIII (XV70) Рестайлинг;2022;21000;седан;белый;2.5;209;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;;аи-95;нет;4;4;2523500
VIII (XV70) Рестайлинг;2021;27000;седан;белый;2.5;209;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;;аи-95;нет;4;4;2520000
VIII (XV70) Рестайлинг;2022;34000;седан;белый;2.5;178;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;9.0;аи-95;нет;4;4;2932000
